,aid_from,aid_to,step_from,step_to,function,craftdroid_evaluate
0,a11,a12,0,0,b11,tp
1,a11,a12,1,1,b11,tp
2,a11,a12,2,2,b11,tp
3,a11,a13,0,0,b11,tp
4,a11,a13,1,1,b11,tp
5,a11,a13,2,2,b11,tp
6,a11,a14,0,1,b11,tp
7,a11,a14,1,2,b11,tp
8,a11,a14,2,3,b11,tp
9,a11,a15,0,1,b11,tp
10,a11,a15,1,2,b11,tp
11,a11,a15,2,3,b11,tp
12,a12,a11,0,0,b11,tp
13,a12,a11,1,1,b11,tp
14,a12,a11,2,2,b11,tp
15,a12,a13,0,0,b11,tp
16,a12,a13,1,1,b11,tp
17,a12,a13,2,2,b11,tp
18,a12,a14,0,1,b11,tp
19,a12,a14,1,2,b11,tp
20,a12,a14,2,3,b11,tp
21,a12,a15,0,1,b11,tp
22,a12,a15,1,2,b11,tp
23,a12,a15,2,3,b11,tp
24,a13,a11,0,0,b11,tp
25,a13,a11,1,1,b11,tp
26,a13,a11,2,2,b11,tp
27,a13,a12,0,0,b11,tp
28,a13,a12,1,1,b11,tp
29,a13,a12,2,2,b11,tp
30,a13,a14,0,1,b11,tp
31,a13,a14,1,2,b11,tp
32,a13,a14,2,3,b11,tp
33,a13,a15,0,1,b11,tp
34,a13,a15,1,2,b11,tp
35,a13,a15,2,3,b11,tp
36,a14,a11,0,-1,b11,fp
37,a14,a11,1,0,b11,tp
38,a14,a11,2,1,b11,tp
39,a14,a11,3,2,b11,tp
40,a14,a12,0,-1,b11,fp
41,a14,a12,1,0,b11,tp
42,a14,a12,2,1,b11,tp
43,a14,a12,3,2,b11,tp
44,a14,a13,0,-1,b11,fp
45,a14,a13,1,0,b11,fp
46,a14,a13,2,1,b11,fp
47,a14,a13,3,2,b11,tp
48,a14,a15,0,0,b11,tp
49,a14,a15,1,1,b11,tp
50,a14,a15,2,2,b11,tp
51,a14,a15,3,3,b11,tp
52,a15,a11,0,-1,b11,fp
53,a15,a11,1,0,b11,tp
54,a15,a11,2,1,b11,tp
55,a15,a11,3,2,b11,tp
56,a15,a12,0,-1,b11,fp
57,a15,a12,1,0,b11,tp
58,a15,a12,2,1,b11,tp
59,a15,a12,3,2,b11,tp
60,a15,a13,0,-1,b11,fp
61,a15,a13,1,0,b11,fp
62,a15,a13,2,1,b11,fp
63,a15,a13,3,2,b11,tp
64,a15,a14,0,0,b11,tp
65,a15,a14,1,1,b11,tp
66,a15,a14,2,2,b11,tp
67,a15,a14,3,3,b11,tp
68,a11,a12,0,0,b12,tp
69,a11,a12,1,1,b12,tp
70,a11,a12,2,2,b12,tp
71,a11,a12,3,3,b12,tp
72,a11,a12,4,4,b12,tp
73,a11,a12,5,5,b12,tp
74,a11,a12,6,6,b12,tp
75,a11,a13,0,0,b12,tp
76,a11,a13,1,1,b12,tp
77,a11,a13,2,2,b12,tp
78,a11,a13,3,3,b12,tp
79,a11,a13,4,4,b12,tp
80,a11,a13,5,5,b12,tp
81,a11,a13,6,6,b12,tp
82,a11,a14,0,1,b12,tp
83,a11,a14,1,2,b12,tp
84,a11,a14,2,3,b12,tp
85,a11,a14,3,4,b12,tp
86,a11,a14,4,5,b12,tp
87,a11,a14,5,6,b12,tp
88,a11,a14,6,7,b12,tp
89,a11,a15,0,1,b12,tp
90,a11,a15,1,2,b12,tp
91,a11,a15,2,3,b12,tp
92,a11,a15,3,4,b12,tp
93,a11,a15,4,5,b12,tp
94,a11,a15,5,6,b12,tp
95,a11,a15,6,7,b12,tp
96,a12,a11,0,0,b12,tp
97,a12,a11,1,1,b12,tp
98,a12,a11,2,2,b12,tp
99,a12,a11,3,3,b12,tp
100,a12,a11,4,4,b12,tp
101,a12,a11,5,5,b12,tp
102,a12,a11,6,6,b12,tp
103,a12,a13,0,0,b12,tp
104,a12,a13,1,1,b12,tp
105,a12,a13,2,2,b12,tp
106,a12,a13,3,3,b12,tp
107,a12,a13,4,4,b12,tp
108,a12,a13,5,5,b12,tp
109,a12,a13,6,6,b12,tp
110,a12,a14,0,1,b12,tp
111,a12,a14,1,2,b12,tp
112,a12,a14,2,3,b12,tp
113,a12,a14,3,4,b12,tp
114,a12,a14,4,5,b12,tp
115,a12,a14,5,6,b12,tp
116,a12,a14,6,7,b12,tp
117,a12,a15,0,1,b12,tp
118,a12,a15,1,2,b12,tp
119,a12,a15,2,3,b12,tp
120,a12,a15,3,4,b12,tp
121,a12,a15,4,5,b12,tp
122,a12,a15,5,6,b12,tp
123,a12,a15,6,7,b12,tp
124,a13,a11,0,0,b12,tp
125,a13,a11,1,1,b12,tp
126,a13,a11,2,2,b12,tp
127,a13,a11,3,3,b12,tp
128,a13,a11,4,4,b12,tp
129,a13,a11,5,5,b12,tp
130,a13,a11,6,6,b12,tp
131,a13,a12,0,0,b12,tp
132,a13,a12,1,1,b12,tp
133,a13,a12,2,2,b12,tp
134,a13,a12,3,3,b12,tp
135,a13,a12,4,4,b12,tp
136,a13,a12,5,5,b12,tp
137,a13,a12,6,6,b12,tp
138,a13,a14,0,1,b12,tp
139,a13,a14,1,2,b12,tp
140,a13,a14,2,3,b12,tp
141,a13,a14,3,4,b12,tp
142,a13,a14,4,5,b12,tp
143,a13,a14,5,6,b12,tp
144,a13,a14,6,7,b12,tp
145,a13,a15,0,1,b12,tp
146,a13,a15,1,2,b12,tp
147,a13,a15,2,3,b12,tp
148,a13,a15,3,4,b12,fn
149,a13,a15,4,5,b12,fn
150,a13,a15,5,6,b12,fn
151,a13,a15,6,7,b12,fn
152,a14,a11,0,-1,b12,fp
153,a14,a11,1,0,b12,tp
154,a14,a11,2,1,b12,tp
155,a14,a11,3,2,b12,tp
156,a14,a11,4,3,b12,tp
157,a14,a11,5,4,b12,tp
158,a14,a11,6,5,b12,tp
159,a14,a11,7,6,b12,tp
160,a14,a12,0,-1,b12,fp
161,a14,a12,1,0,b12,tp
162,a14,a12,2,1,b12,tp
163,a14,a12,3,2,b12,tp
164,a14,a12,4,3,b12,tp
165,a14,a12,5,4,b12,tp
166,a14,a12,6,5,b12,tp
167,a14,a12,7,6,b12,tp
168,a14,a13,0,-1,b12,fp
169,a14,a13,1,0,b12,fp
170,a14,a13,2,1,b12,fp
171,a14,a13,3,2,b12,tp
172,a14,a13,4,3,b12,tp
173,a14,a13,5,4,b12,tp
174,a14,a13,6,5,b12,tp
175,a14,a13,7,6,b12,tp
176,a14,a15,0,0,b12,tp
177,a14,a15,1,1,b12,tp
