src_app,target_app,src_event_index,target_label,src_class,target_class,src_type,target_type,target_event_index,src_text,src_id,src_content_desc,src_hint,src_atm_neighbor,src_file_name,target_text,target_id,target_content_desc,target_hint,target_atm_neighbor,target_file_name,w2v
Expense2,Expense2-Expense3,0,correct,android.widget.ImageButton,android.widget.ImageButton,clickable,clickable,0,,fab,,,,ic add,,image button,,,,plusbutton,1.07788555
Expense2,Expense2-Expense3,0,wrong,android.widget.ImageButton,android.widget.ImageButton,clickable,clickable,0,,fab,,,,ic add,,,open navigation drawer,,,,1.517629722
Expense2,Expense2-Expense3,0,wrong,android.widget.ImageButton,android.widget.TextView,clickable,label,0,,fab,,,,ic add,today budget,view,,,,,0.972142383
Expense2,Expense2-Expense3,0,wrong,android.widget.ImageButton,android.widget.TextView,clickable,label,0,,fab,,,,ic add,,current money,,,,,0.915518859
Expense2,Expense2-Expense3,0,wrong,android.widget.ImageButton,android.widget.TextView,clickable,label,0,,fab,,,,ic add,daily amount,view,,,,,0.917698932
Expense2,Expense2-Expense3,0,wrong,android.widget.ImageButton,android.widget.TextView,clickable,label,0,,fab,,,,ic add,,daily amount,,,,,0.917698932
Expense2,Expense2-Expense3,0,wrong,android.widget.ImageButton,android.widget.ImageButton,clickable,clickable,0,,fab,,,,ic add,,image button,,,,minusbutton,1.07788555
Expense2,Expense2-Expense3,0,wrong,android.widget.ImageButton,android.widget.EditText,clickable,fillable,1,,fab,,,,ic add,amount,input amount,,,,,1.249859691
Expense2,Expense2-Expense3,0,wrong,android.widget.ImageButton,android.widget.ImageButton,clickable,clickable,1,,fab,,,,ic add,,,navigate,,,,0.652299982
Expense2,Expense2-Expense3,0,wrong,android.widget.ImageButton,android.widget.EditText,clickable,fillable,1,,fab,,,,ic add,note optional,input note,,,,,1.393294334
Expense2,Expense2-Expense3,0,wrong,android.widget.ImageButton,android.widget.Button,clickable,clickable,1,,fab,,,,ic add,do,do,,,,,0.786944407
Expense2,Expense2-Expense3,0,wrong,android.widget.ImageButton,android.widget.TextView,clickable,label,2,,fab,,,,ic add,test ad,,,,,,1.115492588
Expense2,Expense2-Expense3,0,wrong,android.widget.ImageButton,android.widget.Button,clickable,clickable,3,,fab,,,,ic add,do,do,,,,,0.786944407
Expense2,Expense2-Expense3,0,wrong,android.widget.ImageButton,android.widget.EditText,clickable,fillable,3,,fab,,,,ic add,,input note,,,,,1.364861369
Expense2,Expense2-Expense3,1,correct,android.widget.EditText,android.widget.EditText,fillable,fillable,1,,expense value,,,money,,amount,input amount,,,,,0.622817159
