src_app,target_app,src_event_index,target_label,src_class,target_class,src_type,target_type,target_event_index,src_text,src_id,src_content_desc,src_hint,src_parent_text,src_sibling_text,src_activity,target_text,target_id,target_content_desc,target_hint,target_parent_text,target_sibling_text,target_activity,w2v
Expense2,Expense2-Expense3,0,correct,android.widget.ImageButton,android.widget.ImageButton,clickable,clickable,0,,fab,,,,,main activity,,image button,,,,,main activity,0.5577621050179005
Expense2,Expense2-Expense3,0,wrong,android.widget.ImageButton,android.widget.ImageButton,clickable,clickable,0,,fab,,,,,main activity,,,open navigation drawer,,,,main activity,0.9999999701976776
Expense2,Expense2-Expense3,0,wrong,android.widget.ImageButton,android.widget.TextView,clickable,label,0,,fab,,,,,main activity,today budget,view,,,,,main activity,0.5021599566098303
Expense2,Expense2-Expense3,0,wrong,android.widget.ImageButton,android.widget.TextView,clickable,label,0,,fab,,,,,main activity,,current money,,,,today budget,main activity,0.5391435623168945
Expense2,Expense2-Expense3,0,wrong,android.widget.ImageButton,android.widget.TextView,clickable,label,0,,fab,,,,,main activity,daily amount,view,,,,,main activity,0.5021599566098303
Expense2,Expense2-Expense3,0,wrong,android.widget.ImageButton,android.widget.TextView,clickable,label,0,,fab,,,,,main activity,,daily amount,,,,daily amount,main activity,0.5153194442391396
Expense2,Expense2-Expense3,0,wrong,android.widget.ImageButton,android.widget.ImageButton,clickable,clickable,0,,fab,,,,,main activity,,image button,,,,,main activity,0.5577621050179005
Expense2,Expense2-Expense3,0,wrong,android.widget.ImageButton,android.widget.EditText,clickable,fillable,1,,fab,,,,,main activity,amount,input amount,,,,,input activity,0.2755954163148999
Expense2,Expense2-Expense3,0,wrong,android.widget.ImageButton,android.widget.ImageButton,clickable,clickable,1,,fab,,,,,main activity,,,navigate,,,,input activity,0.5199512913823128
Expense2,Expense2-Expense3,0,wrong,android.widget.ImageButton,android.widget.EditText,clickable,fillable,1,,fab,,,,,main activity,note optional,input note,,,,amount,input activity,0.28678585961461067
Expense2,Expense2-Expense3,0,wrong,android.widget.ImageButton,android.widget.Button,clickable,clickable,1,,fab,,,,,main activity,do,do,,,,note optional,input activity,0.3002857565879822
Expense2,Expense2-Expense3,0,wrong,android.widget.ImageButton,android.widget.TextView,clickable,label,2,,fab,,,,,main activity,test ad,,,,,,input activity,0.5199512913823128
Expense2,Expense2-Expense3,0,wrong,android.widget.ImageButton,android.widget.Button,clickable,clickable,3,,fab,,,,,main activity,do,do,,,,,input activity,0.3002857565879822
Expense2,Expense2-Expense3,0,wrong,android.widget.ImageButton,android.widget.EditText,clickable,fillable,3,,fab,,,,,main activity,,input note,,,,amount,input activity,0.28678585961461067
Expense2,Expense2-Expense3,1,correct,android.widget.EditText,android.widget.EditText,fillable,fillable,1,,expense value,,,,,expense activity,amount,input amount,,,,,input activity,0.4144909828901291
Expense2,Expense2-Expense3,1,wrong,android.widget.EditText,android.widget.ImageButton,fillable,clickable,0,,expense value,,,,,expense activity,,image button,,,,,main activity,0.295559708843939
Expense2,Expense2-Expense3,1,wrong,android.widget.EditText,android.widget.ImageButton,fillable,clickable,0,,expense value,,,,,expense activity,,,open navigation drawer,,,,main activity,0.5309859979897738
Expense2,Expense2-Expense3,1,wrong,android.widget.EditText,android.widget.TextView,fillable,label,0,,expense value,,,,,expense activity,today budget,view,,,,,main activity,0.36529033724218607
